array_element_name	array_element_type	organism	is_control	locus	description	chromosome	start	stop
262915_at	oligonucleotide	Arabidopsis thaliana	no	AT1G59940	ARR3 (RESPONSE REGULATOR 3); transcription regulator/ two-component response regulator	1	22065905	22066791
262916_at	oligonucleotide	Arabidopsis thaliana	no	AT1G59700	ATGSTU16 (GLUTATHIONE S-TRANSFERASE TAU 16); glutathione transferase	1	21936656	21937762
262917_at	oligonucleotide	Arabidopsis thaliana	no	AT1G64800	DNA binding / transcription factor	1	24085086	24085432
262918_at	oligonucleotide	Arabidopsis thaliana	no	AT1G65000	unknown protein	1	24147200	24148534
262919_at	oligonucleotide	Arabidopsis thaliana	no	AT1G79380	copine-related	1	29862406	29862990
262920_at	oligonucleotide	Arabidopsis thaliana	no	AT1G79500	2-dehydro-3-deoxyphosphooctonate aldolase / phospho-2-dehydro-3-deoxyoctonate aldolase / 3-deoxy-D-manno-octulosonic acid 8-phosphate synthetase (KDSA)	1	29904545	29905971
262921_at	oligonucleotide	Arabidopsis thaliana	no	AT1G79430	APL (ALTERED PHLOEM DEVELOPMENT); transcription factor/ transcription regulator	1	29877557	29878110
262922_at	oligonucleotide	Arabidopsis thaliana	no	AT1G79420	unknown protein	1	29872649	29874115
262923_at	oligonucleotide	Arabidopsis thaliana	no	AT1G75660	XRN3; 5'-3' exoribonuclease	1	28414340	28414698
262924_s_at	oligonucleotide	Arabidopsis thaliana	no	AT1G75630;AT1G19910	[AT1G75630, AVA-P4; ATPase];[AT1G19910, AVA-P2; ATPase/ proton-transporting ATPase, rotational mechanism]	[AT1G75630, 1];[AT1G19910, 1]	[AT1G75630, 28401019];[AT1G19910, 6913686]	[AT1G75630, 28402001];[AT1G19910, 6914291]
262925_at	oligonucleotide	Arabidopsis thaliana	no	AT1G65730	YSL7 (YELLOW STRIPE LIKE 7); oligopeptide transporter	1	24445538	24446093
262926_s_at	oligonucleotide	Arabidopsis thaliana	no	AT1G65800;AT1G65790	[AT1G65800, ARK2 (A. THALIANA RECEPTOR KINASE 2); kinase/ protein kinase/ transmembrane receptor protein serine/threonine kinase];[AT1G65790, ARK1 (A. THALIANA RECEPTOR KINASE 1); kinase/ protein kinase/ protein serine/threonine kinase/ transmembrane receptor protein kinase]	[AT1G65800, 1];[AT1G65790, 1]	[AT1G65800, 24475808];[AT1G65790, 24471614]	[AT1G65800, 24476523];[AT1G65790, 24472329]
262927_at	oligonucleotide	Arabidopsis thaliana	no	AT1G65810	tRNA-splicing endonuclease positive effector-related	1	24477056	24477762
262928_at	oligonucleotide	Arabidopsis thaliana	no	AT1G65760	F-box family protein	1	24459116	24459715
262929_at	oligonucleotide	Arabidopsis thaliana	no	AT1G65720	unknown protein	1	24440477	24441005
262930_at	oligonucleotide	Arabidopsis thaliana	no	AT1G65690	harpin-induced protein-related / HIN1-related / harpin-responsive protein-related	1	24431646	24432717
262931_at	oligonucleotide	Arabidopsis thaliana	no	AT1G65700	small nuclear ribonucleoprotein, putative / snRNP, putative / Sm protein, putative	1	24434466	24435870
262932_at	oligonucleotide	Arabidopsis thaliana	no	AT1G65820	microsomal glutathione s-transferase, putative	1	24485283	24486669
262933_at	oligonucleotide	Arabidopsis thaliana	no	AT1G65840	ATPAO4 (ARABIDOPSIS THALIANA POLYAMINE OXIDASE 4); amine oxidase/ polyamine oxidase	1	24492050	24492728
262934_s_at	oligonucleotide	Arabidopsis thaliana	no	AT1G16270;AT1G79570	[AT1G16270, protein kinase family protein];[AT1G79570, protein kinase family protein]	[AT1G16270, 1];[AT1G79570, 1]	[AT1G16270, 5567269];[AT1G79570, 29933031]	[AT1G16270, 5567970];[AT1G79570, 29933825]
262935_at	oligonucleotide	Arabidopsis thaliana	no	AT1G79410	AtOCT5 (Arabidopsis thaliana ORGANIC CATION/CARNITINE TRANSPORTER5); carbohydrate transmembrane transporter/ sugar:hydrogen symporter	1	29868045	29868575
262936_at	oligonucleotide	Arabidopsis thaliana	no	AT1G79400	ATCHX2 (CATION/H+ EXCHANGER 2); monovalent cation:proton antiporter/ sodium:hydrogen antiporter	1	29867070	29867765
262937_at	oligonucleotide	Arabidopsis thaliana	no	AT1G79560	FTSH12 (FTSH PROTEASE 12); ATP-dependent peptidase/ ATPase/ metallopeptidase	1	29931198	29932293
262938_at	oligonucleotide	Arabidopsis thaliana	no	AT1G79540	pentatricopeptide (PPR) repeat-containing protein	1	29920389	29920930
262939_s_at	oligonucleotide	Arabidopsis thaliana	no	AT1G79530;AT1G16300	[AT1G79530, GAPCP-1 (GLYCERALDEHYDE-3-PHOSPHATE DEHYDROGENASE OF PLASTID 1); NAD or NADH binding / binding / catalytic/ glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)/ glyceraldehyde-3-phosphate dehydrogenase];[AT1G16300, GAPCP-2; NAD or NADH binding / binding / catalytic/ glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)/ glyceraldehyde-3-phosphate dehydrogenase]	[AT1G79530, 1];[AT1G16300, 1]	[AT1G79530, 29916770];[AT1G16300, 5576244]	[AT1G79530, 29917354];[AT1G16300, 5576861]
262940_at	oligonucleotide	Arabidopsis thaliana	no	AT1G79520	cation efflux family protein	1	29912435	29912956
262941_at	oligonucleotide	Arabidopsis thaliana	no	AT1G79490	EMB2217 (embryo defective 2217)	1	29902613	29903118
262942_at	oligonucleotide	Arabidopsis thaliana	no	AT1G79450	ALIS5 (ALA-Interacting Subunit 5)	1	29889120	29889885
262943_at	oligonucleotide	Arabidopsis thaliana	no	AT1G79470	inosine-5'-monophosphate dehydrogenase	1	29894820	29895577
262944_at	oligonucleotide	Arabidopsis thaliana	no	AT1G79550	PGK (PHOSPHOGLYCERATE KINASE); phosphoglycerate kinase	1	29924371	29925192
262945_at	oligonucleotide	Arabidopsis thaliana	no	AT1G79510	unknown protein	1	29908281	29908931
262946_at	oligonucleotide	Arabidopsis thaliana	no	AT1G79390	unknown protein	1	29863478	29864225
262947_at	oligonucleotide	Arabidopsis thaliana	no	AT1G75750	GASA1 (GAST1 PROTEIN HOMOLOG 1)	1	28441851	28442275
262948_at	oligonucleotide	Arabidopsis thaliana	no	AT1G75560	zinc knuckle (CCHC-type) family protein	1	28371614	28372097
262949_at	oligonucleotide	Arabidopsis thaliana	no	AT1G75790	sks18 (SKU5 Similar 18); copper ion binding / pectinesterase	1	28454982	28455698
262950_at	oligonucleotide	Arabidopsis thaliana	no	AT1G75510	transcription initiation factor IIF beta subunit (TFIIF-beta) family protein	1	28347363	28348443
262951_at	oligonucleotide	Arabidopsis thaliana	no	AT1G75500	nodulin MtN21 family protein	1	28338343	28339071
262952_at	oligonucleotide	Arabidopsis thaliana	no	AT1G75770	unknown protein	1	28450134	28450963
262953_at	oligonucleotide	Arabidopsis thaliana	no	AT1G75670	DNA-directed RNA polymerase/ RNA binding	1	28415488	28416466
262954_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54500	rubredoxin family protein	1	20357103	20357607
262955_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54520	unknown protein	1	20364203	20365871
262956_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54270	EIF4A-2; ATP-dependent helicase/ translation initiation factor	1	20261438	20262013
262957_s_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54250;AT3G59600	[AT1G54250, NRPB8A; DNA-directed RNA polymerase];[AT3G59600, NRPB8B; DNA-directed RNA polymerase]	[AT1G54250, 1];[AT3G59600, 3]	[AT1G54250, 20255230];[AT3G59600, 22016649]	[AT1G54250, 20256224];[AT3G59600, 22017812]
262958_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54410	dehydrin family protein	1	20310309	20310599
262959_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54290	eukaryotic translation initiation factor SUI1, putative	1	20268750	20269384
262960_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54320	LEM3 (ligand-effect modulator 3) family protein / CDC50 family protein	1	20275753	20276592
262961_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54490	XRN4 (EXORIBONUCLEASE 4); 5'-3' exonuclease/ 5'-3' exoribonuclease/ nucleic acid binding	1	20356056	20356521
262962_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54340	ICDH (ISOCITRATE DEHYDROGENASE); isocitrate dehydrogenase (NADP+)/ oxidoreductase, acting on the CH-OH group of donors, NAD or NADP as acceptor	1	20285419	20286412
262963_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54220	dihydrolipoamide S-acetyltransferase, putative	1	20246525	20247436
262964_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54380	spliceosome protein-related	1	20298301	20298909
262965_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54310	RNA binding	1	20273952	20274678
262966_at	oligonucleotide	Arabidopsis thaliana	no	AT1G75760	ER lumen protein retaining receptor family protein	1	28447126	28447951
262967_at	oligonucleotide	Arabidopsis thaliana	no	AT1G75730	unknown protein	1	28436008	28436720
262968_at	oligonucleotide	Arabidopsis thaliana	no	AT1G75720	unknown protein	1	28434747	28435301
262969_at	oligonucleotide	Arabidopsis thaliana	no	AT1G75710	zinc finger (C2H2 type) family protein	1	28430586	28431101
262970_at	oligonucleotide	Arabidopsis thaliana	no	AT1G75690	chaperone protein dnaJ-related	1	28422400	28423094
262971_at	oligonucleotide	Arabidopsis thaliana	no	AT1G75640	leucine-rich repeat family protein / protein kinase family protein	1	28403654	28404198
262972_at	oligonucleotide	Arabidopsis thaliana	no	AT1G75620	glyoxal oxidase-related	1	28395007	28395539
262973_at	oligonucleotide	Arabidopsis thaliana	no	AT1G75600	histone H3.2, putative	1	28390764	28391358
262974_at	oligonucleotide	Arabidopsis thaliana	no	AT1G75550	glycine-rich protein	1	28369445	28369929
262975_at	oligonucleotide	Arabidopsis thaliana	no	AT1G75540	STH2 (SALT TOLERANCE HOMOLOG2); transcription factor/ zinc ion binding	1	28366551	28367275
262976_at	oligonucleotide	Arabidopsis thaliana	no	AT1G75520	SRS5 (SHI-RELATED SEQUENCE 5)	1	28351779	28352738
262977_at	oligonucleotide	Arabidopsis thaliana	no	AT1G75490	DNA binding / transcription factor	1	28336089	28336659
262978_at	oligonucleotide	Arabidopsis thaliana	no	AT1G75780	TUB1; GTP binding / GTPase/ structural molecule	1	28451427	28451937
262979_s_at	oligonucleotide	Arabidopsis thaliana	no	AT1G13370;AT1G75600;AT1G75610	[AT1G13370, histone H3, putative];[AT1G75600, histone H3.2, putative];[AT1G75610, pseudogene, histone H3, identical to histone H3.2 from Medicago sativa GB:AAB36495 GI:488571, Histone H3.2, minor Lolium temulentum SP|P11105, histone H3 Tortula ruralis GI:4574208; contains Pfam profile PF00125 Core histone H2A/H2B/H3/H4; blastp match of 96% identity and 6.6e-54 P-value to GP|6006364|dbj|BAA84794.1||AP000559 EST D15300(C0425) corresponds to a region of the predicted gene.~Similar to histone H3 (AB015760) {Oryza sativa (japonica cultivar-group)}]	[AT1G13370, 1];[AT1G75600, 1];[AT1G75610, 1]	[AT1G13370, 4587940];[AT1G75600, 28391411];[AT1G75610, 28393262]	[AT1G13370, 4587976];[AT1G75600, 28391447];[AT1G75610, 28393298]
262980_at	oligonucleotide	Arabidopsis thaliana	no	AT1G75680	AtGH9B7 (Arabidopsis thaliana glycosyl hydrolase 9B7); catalytic/ hydrolase, hydrolyzing O-glycosyl compounds	1	28417229	28417907
262981_at	oligonucleotide	Arabidopsis thaliana	no	AT1G75590	auxin-responsive family protein	1	28383266	28383709
262982_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54390	PHD finger protein-related	1	20305131	20306459
262983_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54550	F-box family protein	1	20370310	20370743
262984_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54460	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Targeting for Xklp2 (InterPro:IPR009675); BEST Arabidopsis thaliana protein match is: WDL1 (TAIR:AT3G04630.3); Has 393 Blast hits to 375 proteins in 76 species: Archae - 0; Bacteria - 3; Metazoa - 143; Fungi - 38; Plants - 160; Viruses - 0; Other Eukaryotes - 49 (source: NCBI BLink).	1	20340908	20342298
262985_s_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23290	RPL27AB; structural constituent of ribosome	1	8263034	8263167
262986_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23390	kelch repeat-containing F-box family protein	1	8309526	8310033
262987_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23240	caleosin-related family protein	1	8252970	8254112
262988_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23310	GGT1 (GLUTAMATE:GLYOXYLATE AMINOTRANSFERASE); L-alanine:2-oxoglutarate aminotransferase/ glycine:2-oxoglutarate aminotransferase	1	8268814	8269736
262989_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23420	INO (INNER NO OUTER); protein binding / transcription factor	1	8317651	8318516
262990_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23260	MMZ1 (MMS ZWEI HOMOLOGUE 1); protein binding / ubiquitin-protein ligase	1	8257211	8258561
262992_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54210	ATG12A (AUTOPHAGY 12 A); protein binding	1	20241295	20241866
262993_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54230	DNA binding	1	20251529	20252219
262994_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54420	unknown protein	1	20311625	20312385
262995_s_at	oligonucleotide	Arabidopsis thaliana	no	AT3G30420;AT1G54430	[AT3G30420, transposable element gene];[AT1G54430, transposable element gene]	[AT3G30420, 3];[AT1G54430, 1]	[AT3G30420, 12059999];[AT1G54430, 20313868]	[AT3G30420, 12060577];[AT1G54430, 20314446]
262996_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54440	3'-5' exonuclease/ nucleic acid binding	1	20326831	20327931
262997_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54470	RPP27 (resistance to Peronospora parasitica 27); protein binding	1	20348523	20349022
262998_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54280	haloacid dehalogenase-like hydrolase family protein	1	20262874	20263361
262999_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54330	ANAC020 (Arabidopsis NAC domain containing protein 20); transcription factor	1	20279745	20280384
263000_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54350	ABC transporter family protein	1	20289449	20290201
263001_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54360	TAF6B4 (TBP-ASSOCIATED FACTOR 6B4); RNA polymerase II transcription factor/ transcription initiation factor	1	20292163	20293158
263002_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54200	unknown protein	1	20236388	20236943
263003_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54450	calcium-binding EF-hand family protein	1	20336581	20337419
263004_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54510	ATNEK1 (ARABIDOPSIS THALIANA NIMA-RELATED SERINE/THREONINE KINASE 1); ATP binding / kinase/ protein kinase/ protein serine/threonine kinase	1	20358605	20359107
263005_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54540	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: hypocotyl, flower, root; EXPRESSED DURING: petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: Harpin-induced 1 (InterPro:IPR010847); BEST Arabidopsis thaliana protein match is: harpin-induced protein-related / HIN1-related / harpin-responsive protein-related (TAIR:AT1G65690.1); Has 612 Blast hits to 611 proteins in 22 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 612; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).	1	20367816	20368255
263006_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54240	DNA binding	1	20253446	20254554
263007_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54260	histone H1/H5 family protein	1	20257436	20259175
263008_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54470	RPP27 (resistance to Peronospora parasitica 27); protein binding	1	20344742	20345028
263009_at	oligonucleotide	Arabidopsis thaliana	no	AT1G54370	NHX5; sodium ion transmembrane transporter/ sodium:hydrogen antiporter	1	20293380	20294507
263010_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23330	unknown protein	1	8279913	8280658
263011_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23250	calcium ion binding	1	8255307	8256269
263013_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23380	KNAT6; DNA binding / transcription activator/ transcription factor	1	8301665	8302477
263014_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23400	CAF2; RNA splicing factor, transesterification mechanism	1	8312236	8313226
263015_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23440	pyrrolidone-carboxylate peptidase family protein	1	8321959	8322465
263016_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23410	ubiquitin extension protein, putative / 40S ribosomal protein S27A (RPS27aA)	1	8314987	8315387
263017_at	oligonucleotide	Arabidopsis thaliana	no	AT2G17620	CYCB2;1 (Cyclin B2;1); cyclin-dependent protein kinase regulator	2	7665468	7666253
263018_at	oligonucleotide	Arabidopsis thaliana	no	AT2G17610	transposable element gene	2	7657623	7658292
263019_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23870	ATTPS9; transferase, transferring glycosyl groups / trehalose-phosphatase	1	8434794	8435488
263020_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23880	NHL repeat-containing protein	1	8438037	8438567
263021_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23910	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: response to biotic stimulus, defense response; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: Bet v I allergen (InterPro:IPR000916); BEST Arabidopsis thaliana protein match is: Bet v I allergen family protein (TAIR:AT1G24000.1); Has 37 Blast hits to 35 proteins in 7 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 37; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).	1	8451070	8451289
263022_s_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23940;AT1G23900	[AT1G23940, adaptin family protein];[AT1G23900, GAMMA-ADAPTIN 1 (GAMMA-ADAPTIN 1); binding / clathrin binding / protein binding / protein transporter]	[AT1G23940, 1];[AT1G23900, 1]	[AT1G23940, 8468107];[AT1G23900, 8442555]	[AT1G23940, 8468599];[AT1G23900, 8443063]
263023_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23960	unknown protein	1	8478637	8479472
263024_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23980	zinc finger (C3HC4-type RING finger) family protein	1	8484954	8485473
263025_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23990	transposable element gene	1	8492155	8492718
263026_at	oligonucleotide	Arabidopsis thaliana	no	AT1G24000	Bet v I allergen family protein	1	8496066	8496517
263027_at	oligonucleotide	Arabidopsis thaliana	no	AT1G24010	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: response to biotic stimulus, defense response; LOCATED IN: cellular_component unknown; EXPRESSED IN: embryo, guard cell, pedicel, root, carpel; EXPRESSED DURING: 4 anthesis, C globular stage, petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: Bet v I allergen (InterPro:IPR000916); BEST Arabidopsis thaliana protein match is: Bet v I allergen family protein (TAIR:AT1G24000.1); Has 23 Blast hits to 21 proteins in 6 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 23; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).	1	8499007	8499437
263028_at	oligonucleotide	Arabidopsis thaliana	no	AT1G24030	protein kinase family protein	1	8504231	8505185
263029_at	oligonucleotide	Arabidopsis thaliana	no	AT1G24050	unknown protein	1	8507078	8508438
263030_at	oligonucleotide	Arabidopsis thaliana	no	AT1G24060	unknown protein	1	8509393	8510055
263031_at	oligonucleotide	Arabidopsis thaliana	no	AT1G24070	ATCSLA10; cellulose synthase/ transferase, transferring glycosyl groups	1	8516461	8517093
263032_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23850	unknown protein	1	8426095	8426550
263033_s_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23970;AT1G23950	[AT1G23970, unknown protein];[AT1G23950, unknown protein]	[AT1G23970, 1];[AT1G23950, 1]	[AT1G23970, 8482417];[AT1G23950, 8469984]	[AT1G23970, 8483242];[AT1G23950, 8470835]
263034_at	oligonucleotide	Arabidopsis thaliana	no	AT1G24020	MLP423 (MLP-LIKE PROTEIN 423)	1	8500704	8501454
263035_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23860	RSZP21 (RS-CONTAINING ZINC FINGER PROTEIN 21); protein binding	1	8428239	8429150
263036_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23890	NHL repeat-containing protein	1	8439354	8440512
263037_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23230	unknown protein	1	8250814	8251708
263038_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23270	unknown protein	1	8259625	8260108
263039_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23280	MAK16 protein-related	1	8260866	8261926
263040_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23300	MATE efflux family protein	1	8264042	8264760
263041_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23320	TAR1 (TRYPTOPHAN AMINOTRANSFERASE RELATED 1); L-tryptophan:2-oxoglutarate aminotransferase/ L-tryptophan:pyruvate aminotransferase/ carbon-sulfur lyase	1	8273424	8274353
263042_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23340	unknown protein	1	8284276	8285271
263043_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23350	invertase/pectin methylesterase inhibitor family protein	1	8293710	8294166
263044_at	oligonucleotide	Arabidopsis thaliana	no	AT1G23360	UbiE/COQ5 methyltransferase family protein	1	8295457	8296466
263045_at	oligonucleotide	Arabidopsis thaliana	no	AT2G05370	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; BEST Arabidopsis thaliana protein match is: RDR6 (RNA-DEPENDENT RNA POLYMERASE 6); RNA-directed RNA polymerase/ nucleic acid binding (TAIR:AT3G49500.1); Has 35 Blast hits to 21 proteins in 8 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 35; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).	2	1960760	1961335
263046_at	oligonucleotide	Arabidopsis thaliana	no	AT2G05380	GRP3S (GLYCINE-RICH PROTEIN 3 SHORT ISOFORM)	2	1966851	1967813
263047_at	oligonucleotide	Arabidopsis thaliana	no	AT2G17630	phosphoserine aminotransferase, putative	2	7667310	7667859
263048_s_at	oligonucleotide	Arabidopsis thaliana	no	AT4G13500;AT2G05310	[AT4G13500, unknown protein];[AT2G05310, unknown protein]	[AT4G13500, 4];[AT2G05310, 2]	[AT4G13500, 7856987];[AT2G05310, 1933391]	[AT4G13500, 7857807];[AT2G05310, 1934078]
263049_at	oligonucleotide	Arabidopsis thaliana	no	AT2G05260	lipase class 3 family protein	2	1919311	1919841
263050_at	oligonucleotide	Arabidopsis thaliana	no	AT2G05170	ATVPS11; binding / protein binding / transporter/ zinc ion binding	2	1872532	1873228
263051_s_at	oligonucleotide	Arabidopsis thaliana	no	AT2G04210;AT1G40105	[AT2G04210, transposable element gene];[AT1G40105, transposable element gene]	[AT2G04210, 2];[AT1G40105, 1]	[AT2G04210, 1436872];[AT1G40105, 15141734]	[AT2G04210, 1437350];[AT1G40105, 15142215]
263052_at	oligonucleotide	Arabidopsis thaliana	no	AT2G13430	unknown protein	2	5590638	5591421
263053_at	oligonucleotide	Arabidopsis thaliana	no	AT2G13440	glucose-inhibited division family A protein	2	5593307	5593925
263054_at	oligonucleotide	Arabidopsis thaliana	no	AT2G04620	cation efflux family protein	2	1610600	1611402
263055_at	oligonucleotide	Arabidopsis thaliana	no	AT2G04600	transposable element gene	2	1608078	1608955
263056_at	oligonucleotide	Arabidopsis thaliana	no	AT2G12720	transposable element gene	2	5210296	5210334
263057_at	oligonucleotide	Arabidopsis thaliana	no	AT2G09840	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; BEST Arabidopsis thaliana protein match is: nucleic acid binding / zinc ion binding (TAIR:AT2G06904.1); Has 10 Blast hits to 10 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 10; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).	2	3704965	3705392
263058_at	oligonucleotide	Arabidopsis thaliana	no	AT2G07650	transposable element gene	2	3222955	3223897
263059_at	oligonucleotide	Arabidopsis thaliana	no	AT2G07660	transposable element gene	2	3230904	3231422
263060_s_at	oligonucleotide	Arabidopsis thaliana	no	AT2G07773;ATMG00910	[AT2G07773, unknown protein];[ATMG00910, hypothetical protein]	[AT2G07773, 2];[ATMG00910, M]	[AT2G07773, 3241152];[ATMG00910, 241446]	[AT2G07773, 3241589];[ATMG00910, 241883]
263061_at	oligonucleotide	Arabidopsis thaliana	no	AT2G18190	AAA-type ATPase family protein	2	7914358	7914961
263062_at	oligonucleotide	Arabidopsis thaliana	no	AT2G18180	SEC14 cytosolic factor, putative / phosphoglyceride transfer protein, putative	2	7911082	7911897
263063_s_at	oligonucleotide	Arabidopsis thaliana	no	AT2G18150;AT2G18140	[AT2G18150, peroxidase, putative];[AT2G18140, peroxidase, putative]	[AT2G18150, 2];[AT2G18140, 2]	[AT2G18150, 7892324];[AT2G18140, 7887610]	[AT2G18150, 7892689];[AT2G18140, 7887975]
263064_at	oligonucleotide	Arabidopsis thaliana	no	AT2G18162;AT2G18160	[AT2G18162, CPuORF1 (Conserved peptide upstream open reading frame 1)];[AT2G18160, ATBZIP2 (ARABIDOPSIS THALIANA BASIC LEUCINE-ZIPPER 2); DNA binding / protein heterodimerization/ transcription factor]	[AT2G18162, 2];[AT2G18160, 2]	[AT2G18162, 7898420];[AT2G18160, 7898420]	[AT2G18162, 7898798];[AT2G18160, 7898798]
263065_at	oligonucleotide	Arabidopsis thaliana	no	AT2G18170	ATMPK7 (ARABIDOPSIS THALIANA MAP KINASE 7); MAP kinase/ kinase	2	7908188	7908703
263066_at	oligonucleotide	Arabidopsis thaliana	no	AT2G17540	unknown protein	2	7630736	7631256
263067_at	oligonucleotide	Arabidopsis thaliana	no	AT2G17550	unknown protein	2	7634621	7635036
263068_at	oligonucleotide	Arabidopsis thaliana	no	AT2G17580	polynucleotide adenylyltransferase family protein	2	7647156	7649450
263069_at	oligonucleotide	Arabidopsis thaliana	no	AT2G17590	DC1 domain-containing protein	2	7651310	7651818
263070_at	oligonucleotide	Arabidopsis thaliana	no	AT2G17600	DC1 domain-containing protein	2	7654514	7655052
263071_at	oligonucleotide	Arabidopsis thaliana	no	AT2G17490	transposable element gene	2	7599422	7600009
263072_at	oligonucleotide	Arabidopsis thaliana	no	AT2G17530	protein kinase family protein	2	7627897	7628545
263073_at	oligonucleotide	Arabidopsis thaliana	no	AT2G17500	auxin efflux carrier family protein	2	7608072	7608990
263074_at	oligonucleotide	Arabidopsis thaliana	no	AT2G17560	HMGB4 (HIGH MOBILITY GROUP B 4); DNA binding / chromatin binding / structural constituent of chromatin / transcription factor	2	7642627	7643464
263075_at	oligonucleotide	Arabidopsis thaliana	no	AT2G17570	undecaprenyl pyrophosphate synthetase family protein / UPP synthetase family protein	2	7645469	7645923
263076_at	oligonucleotide	Arabidopsis thaliana	no	AT2G17520	IRE1A; endoribonuclease/ kinase	2	7620170	7620887
